,0
1951-08-01,12.08
1951-09-01,10.64
1951-10-01,9.61
1951-11-01,8.52
1951-12-01,7.87
1952-01-01,7.46
1952-02-01,7.15
1952-03-01,7.51
1952-04-01,7.96
1952-05-01,8.16
1952-06-01,9.74
1952-07-01,10.93
1952-08-01,11.48
1952-09-01,10.44
1952-10-01,9.51
1952-11-01,8.88
1952-12-01,8.14
1953-01-01,8.16
1953-02-01,7.61
1953-03-01,7.95
1953-04-01,7.7
1953-05-01,8.58
1953-06-01,10.41
1953-07-01,12.33
1953-08-01,13.09
1953-09-01,12.06
1953-10-01,10.11
1953-11-01,9.03
1953-12-01,8.26
1954-01-01,8.42
1954-02-01,8.08
1954-03-01,7.95
1954-04-01,7.98
1954-05-01,8.63
1954-06-01,10.41
1954-07-01,11.23
1954-08-01,12.28
1954-09-01,11.16
1954-10-01,9.15
1954-11-01,8.6
1954-12-01,7.94
1955-01-01,7.68
1955-02-01,7.33
1955-03-01,7.75
1955-04-01,8.07
1955-05-01,8.86
1955-06-01,10.35
1955-07-01,11.5
1955-08-01,11.58
1955-09-01,10.8
1955-10-01,9.56
1955-11-01,9.02
1955-12-01,8.25
1956-01-01,7.78
1956-02-01,7.82
1956-03-01,8.08
1956-04-01,8.23
1956-05-01,8.74
1956-06-01,9.47
1956-07-01,11.32
1956-08-01,11.79
1956-09-01,10.72
1956-10-01,9.63
1956-11-01,8.63
1956-12-01,8.06
1957-01-01,7.94
1957-02-01,7.53
1957-03-01,7.93
1957-04-01,8.26
1957-05-01,8.67
1957-06-01,10.01
1957-07-01,11.41
1957-08-01,12.05
1957-09-01,10.81
1957-10-01,9.56
1957-11-01,8.73
1957-12-01,8.46
1958-01-01,7.94
1958-02-01,7.54
1958-03-01,7.76
1958-04-01,8.01
1958-05-01,8.26
1958-06-01,10.08
1958-07-01,11.88
1958-08-01,12.67
1958-09-01,12.06
1958-10-01,10.46
1958-11-01,9.36
1958-12-01,8.51
1959-01-01,7.84
1959-02-01,7.77
1959-03-01,8.28
1959-04-01,8.46
1959-05-01,9.06
1959-06-01,9.84
1959-07-01,11.16
1959-08-01,11.82
1959-09-01,10.98
1959-10-01,10.24
1959-11-01,9.07
1959-12-01,8.24
1960-01-01,8.19
1960-02-01,7.88
1960-03-01,8.32
1960-04-01,8.67
1960-05-01,9.67
1960-06-01,10.67
1960-07-01,12.18
1960-08-01,12.89
1960-09-01,11.65
1960-10-01,10.64
1960-11-01,9.48
1960-12-01,8.67
1961-01-01,8.07
1961-02-01,7.76
1961-03-01,8.03
1961-04-01,8.2
1961-05-01,9.05
1961-06-01,10.45
1961-07-01,11.45
1961-08-01,11.86
1961-09-01,11.08
1961-10-01,9.44
1961-11-01,8.78
1961-12-01,7.75
1962-01-01,8.04
1962-02-01,7.52
1962-03-01,7.59
1962-04-01,8.06
1962-05-01,8.78
1962-06-01,9.7
1962-07-01,11.05
1962-08-01,11.83
1962-09-01,10.92
1962-10-01,9.4
1962-11-01,8.38
1962-12-01,7.84
1963-01-01,7.86
1963-02-01,7.67
1963-03-01,8.08
1963-04-01,8.11
1963-05-01,8.36
1963-06-01,9.76
1963-07-01,11.16
1963-08-01,11.36
1963-09-01,10.27
1963-10-01,8.86
1963-11-01,8.39
1963-12-01,8.61
1964-01-01,8.02
1964-02-01,8.09
1964-03-01,8.34
1964-04-01,8.41
1964-05-01,9.21
1964-06-01,10.24
1964-07-01,10.91
1964-08-01,11.52
1964-09-01,10.66
1964-10-01,9.45
1964-11-01,9.03
1964-12-01,8.18
1965-01-01,8.12
1965-02-01,8.36
1965-03-01,7.86
1965-04-01,8.21
1965-05-01,8.64
1965-06-01,9.98
1965-07-01,11.25
1965-08-01,11.84
1965-09-01,10.69
1965-10-01,10.03
1965-11-01,8.74
1965-12-01,8.04
1966-01-01,7.86
1966-02-01,8.24
1966-03-01,7.86
1966-04-01,8.23
1966-05-01,8.95
1966-06-01,10.08
1966-07-01,11.47
1966-08-01,11.51
1966-09-01,10.72
1966-10-01,9.62
1966-11-01,8.36
1966-12-01,7.66
1967-01-01,8.23
1967-02-01,7.93
1967-03-01,7.79
1967-04-01,7.76
1967-05-01,8.18
1967-06-01,9.75
1967-07-01,10.9
1967-08-01,11.46
1967-09-01,10.8
1967-10-01,9.53
1967-11-01,8.5
1967-12-01,8.14
1968-01-01,7.83
1968-02-01,7.8
1968-03-01,7.74
1968-04-01,7.82
1968-05-01,8.1
1968-06-01,9.52
1968-07-01,11.17
1968-08-01,12.66
1968-09-01,11.41
1968-10-01,9.72
1968-11-01,8.75
1968-12-01,8.67
1969-01-01,7.84
1969-02-01,7.44
1969-03-01,7.43
1969-04-01,7.9
1969-05-01,8.44
1969-06-01,9.92
1969-07-01,10.74
1969-08-01,11.78
1969-09-01,10.23
1969-10-01,8.74
1969-11-01,7.65
1969-12-01,7.79
1970-01-01,7.37
1970-02-01,7.13
1970-03-01,7.26
1970-04-01,7.49
1970-05-01,8.32
1970-06-01,9.84
1970-07-01,10.45
1970-08-01,11.33
1970-09-01,10.26
1970-10-01,9.0
1970-11-01,7.96
1970-12-01,7.78
1971-01-01,7.94
1971-02-01,7.58
1971-03-01,7.47
1971-04-01,7.76
1971-05-01,8.55
1971-06-01,10.03
1971-07-01,11.48
1971-08-01,11.58
1971-09-01,9.94
1971-10-01,9.71
1971-11-01,8.9
1971-12-01,8.07
1972-01-01,7.6
1972-02-01,7.27
1972-03-01,7.38
1972-04-01,7.78
1972-05-01,8.31
1972-06-01,9.43
1972-07-01,10.73
1972-08-01,11.18
1972-09-01,9.73
1972-10-01,8.92
1972-11-01,7.97
1972-12-01,7.75
1973-01-01,7.41
1973-02-01,7.28
1973-03-01,7.32
1973-04-01,7.35
1973-05-01,7.79
1973-06-01,9.14
1973-07-01,10.91
1973-08-01,11.27
1973-09-01,10.54
1973-10-01,9.09
1973-11-01,7.82
1973-12-01,7.2
1974-01-01,7.24
1974-02-01,6.77
1974-03-01,7.3
1974-04-01,7.82
1974-05-01,8.4
1974-06-01,10.24
1974-07-01,11.43
1974-08-01,11.57
1974-09-01,10.18
1974-10-01,8.7
1974-11-01,7.72
1974-12-01,7.26
1975-01-01,6.89
1975-02-01,7.05
1975-03-01,7.13
1975-04-01,7.18
1975-05-01,7.94
1975-06-01,8.78
1975-07-01,10.23
1975-08-01,11.08
1975-09-01,9.81
1975-10-01,8.15
1975-11-01,7.96
1975-12-01,7.31
1976-01-01,6.75
